OCN,Org Name,CN,Cert
"0401","Duo Broadband ","Duo Broadband SHAKEN Cert 0401","https://cdn-cr.cgah.tnsi.com/certs/e6c8f8013706c0cbf0a78beb80d1f21374f43b1d"
"0425","Fastwyre Broadband","Fastwyre Broadband SHAKEN Cert 0425","https://cdn-cr.cgah.tnsi.com/certs/4f2a4a764bced7e27a5c80067dd0410ddd1b9e02"
"0432","Kaplan Telephone","Kaplan Telephone SHAKEN 0432","https://cdn-cr.cgah.tnsi.com/certs/e8a30914a93822abe2262f6ffedfadd7837edc3e"
"0562","DTC Communications","DTC Communications SHAKEN 0562","https://cdn-cr.cgah.tnsi.com/certs/82cf7b9a6d32df6dbe88d1a380b594f4be506929"
"0900","Lemonweir Valley Telephone Company","Lemonweir Valley Telephone Company SHAKEN Cert 0900","https://cdn-cr.cgah.tnsi.com/certs/a9a2447c07d34796f48eba3c111c847c93675956"
"095A","Ritter Communications","Ritter Communications SHAKEN cert 095A","https://cdn-cr.cgah.tnsi.com/certs/7721a7f2c31bb0f15ac5d46257b8c3bee1bbae6f"
"122D","Nex-Tech Wireless","Nex-Tech Wireless SHAKEN Cert 122D","https://cdn-cr.cgah.tnsi.com/certs/80d8452d00cdf3a5975cb2301a8dcaab3715ae57"
"127E","New Horizon","New Horizon SHAKEN 127E","https://cdn-cr.cgah.tnsi.com/certs/e7a4996270fb37885b8079d8ac50fa57f5db0fa1"
"1784","Segra","Segra SHAKEN Cert 1784","https://cdn-cr.cgah.tnsi.com/certs/cc9fae904b0b72958a4bbbcb4c068c738dd67f1c"
"1882","Fidelity Communications","Fidelity Communications SHAKEN Cert 1882","https://cdn-cr.cgah.tnsi.com/certs/514fb1f7a1891a792528e0cf023b424c55ddb2cd"
"2071","Five Area Telephone Cooperative","Five Area Telephone SHAKEN Cert 2071","https://cdn-cr.cgah.tnsi.com/certs/738466bb39439e11398346bd5b0156a486803683"
"2231","Project Mutual","Project Mutual SHAKEN Cert 2231","https://cdn-cr.cgah.tnsi.com/certs/d4e575ce3348a47b80616aae48c240808772df2d"
"2235","Blackfoot Communications","Blackfoot Communications SHAKEN Cert 2235","https://cdn-cr.cgah.tnsi.com/certs/bc1696dd44b2d632822353b64e87d310d5fd7bf4"
"2246","Mid-Rivers Telephone Coop","Mid-Rivers Telephone Coop SHAKEN 2246","https://cdn-cr.cgah.tnsi.com/certs/140cb0f2a2c837ef48ff430ab29e4b24599743d5"
"2247","Nemont Telephone Cooperative Inc","Nemont SHAKEN 2247","https://cdn-cr.cgah.tnsi.com/certs/6391f2249c27f88e11aef29333b4bc382cdc154e"
"2255","3 Rivers Communications","3 Rivers Communications SHAKEN Cert 2255","https://cdn-cr.cgah.tnsi.com/certs/b88b96ada796369ea38b5f4a4d83851f50560e74"
"2297","Union Telephone Company","Union Telephone Company SHAKEN 2297","https://cdn-cr.cgah.tnsi.com/certs/15af00a5f4965617a4b01a66dfa46df0c93f7da0"
"2452","Whidbey Telephone Company","Whidbey Telephone Company SHAKEN Cert 2452","https://cdn-cr.cgah.tnsi.com/certs/4b8c18a5a68450eb480b9727e86382fdaa4afa66"
"250A","Chariton Valley Communications Corporation","Chariton Valley SHAKEN 250A","https://cdn-cr.cgah.tnsi.com/certs/5059f73c1bde1cdf7d280f005cc7a0ba008c1e59"
"327K","Priority Communications","Priority Communications SHAKEN Cert 327K","https://cdn-cr.cgah.tnsi.com/certs/1a0286ffe0ccbae396beddec370748d2bb0af933"
"3332","Vermont Telephone Company, Inc.","Vermont Telephone Company Inc SHAKEN Cert 3332","https://cdn-cr.cgah.tnsi.com/certs/a61dd4bdaec6164b6bf30c1fd3d6834d49e10a93"
"4130","Allstream Business US, LLC","Allstream SHAKEN 4130","https://cert-stir-us.allstream.com/certs/allstreamcertchain.crt"
"433E","Sonic","Sonic Telecom SHAKEN 433E","https://crs.qcall.sonic.net/certs/Sonic2024certchain.pem"
"472C","Everstream","Everstream SHAKEN 472C","https://cdn-cr.cgah.tnsi.com/certs/b1bc161ddcafa35c5036dfe9b37e9b7bc16c5bcd"
"4913","Vexus Fiber","Vexus Fiber SHAKEN Cert 4913","https://cdn-cr.cgah.tnsi.com/certs/97be1f553890f85d8a8bf06683588ce5061742f3"
"521F","ENA","ENA SHAKEN 521F","https://cdn-cr.cgah.tnsi.com/certs/7aa8c4e2c803fd15d04bf92150cb33500ec60820"
"5869","Syringa Networks","Syringa Networks SHAKEN 5869","https://cdn-cr.cgah.tnsi.com/certs/a29eefd5fda0c02556423cceaea87deb5e9401d9"
"600F","Altafiber","Altafiber SHAKEN Cert 600F","https://cdn-cr.cgah.tnsi.com/certs/5bf43a66fdefa14ec681ce439ba5f70dce880ac3"
"6349","USCC","USCellular SHAKEN Cert 6349","https://robocall.sti.uscellular.com/certs/uscellular2024certchain.crt"
"6581","Cellular South Licenses  DBA C Spire","Cellular South Licenses SHAKEN Cert 6581","https://cdn-cr.cgah.tnsi.com/certs/d1af372b9cdb3ceba1f85f4ec3657797b3eb1c7f"
"665E","WOW Internet Cable and Phone","WOW Internet Cable and Phone SHAKEN 665E","https://cdn-cr.cgah.tnsi.com/certs/27c187b748655ad5d9d3a570aefb8db66d57f3eb"
"6692","Northeast Communications of Wisconsin ","Northeast Communications of Wisconsin SHAKEN Cert 6692","https://cdn-cr.cgah.tnsi.com/certs/b169a4a9dbb9ca311b83e2c9b0c04f1bd80e00d3"
