OCN,Org Name,CN,Cert
"005K","Primevox Communications, LLC","SHAKEN 005K","https://pvx1.s3.us-east-2.amazonaws.com/stirshaken/public_certificate.cer"
"0088","Delhi Telephone Company","SHAKEN 0088","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/237.564"
"023B","Big River Telephone Company","SHAKEN 023B","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11133.10887.pem"
"023K","Pulsar360 Corp","SHAKEN 023K","https://ecms.securetransit.net/certs/159f2eaefcbba7900be5f7f7e1cd77fa.cer"
"030J","ANI Networks","SHAKEN 030J","https://certs.iverify-aninetworks.net/aninetworks_20260303.crt"
"0435","Northeast Louisiana Telephone Co Inc","SHAKEN 0435","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/217.696"
"049K","Dialpad Inc","SHAKEN 049K","https://fstelephony.dialpad.net/static/cert/shaken_identity_2025_1.cer"
"0523","Hargray Communications Group Inc","SHAKEN 0523","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/221.573"
"063E","Peerless Network","SHAKEN 063E","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11184.10799.pem"
"067K","Junction Networks Inc","SHAKEN 067K","https://stir-shaken.jnctn.net/onsip-stir-shaken.pem"
"0734","Waldron Telephone Company","SHAKEN 0734","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/224.569"
"074K","Coztel LLC","SHAKEN 074K","https://ssc.getsipnav.com/certs/9781afd1cf591e1f693706e5f90132954ab0ec9b"
"098L","Advanced Tel Inc","SHAKEN 098L","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11587.10915.pem"
"1060","Shawnee Communications","SHAKEN 1060","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/155.518"
"128K","textPlus Inc","SHAKEN 128K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/156.646"
"129L","RazorLine LLC","SHAKEN 129L","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/306.703"
"1358","Blue Earth Valley Telephone Inc","SHAKEN 1358","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/41.659"
"139K","FaxLogic LLC","SHAKEN 139K","https://cdn.pgxn.net/sti/20260426.cer"
