OCN,Org Name,CN,Cert
"006L","VoyageNetworks","VoyageNetworks_1742590882637 SHAKEN 006L","https://voipedia.peeredge.com/cert/QKgErsFH.pem"
"006L","VoyageNetworks","VoyageNetworks_1728672609930 SHAKEN 006L","https://voipedia.peeredge.com/cert/vTIeUNV1.pem"
"056L","1234Voip.com LLC","1234Voip.com LLC_1733962630456 SHAKEN 056L","https://certificates.peeringhub.io/056L/KDR68pha/056L.crt"
"066L","Tacit","Tacit Solutions LLC_1748293549184 SHAKEN 066L","https://cdn.cnxcdn.com/shaken/51830bb4c2.crt"
"068F","Fullnet Advanced Communications Inc","Fullnet Advanced Communications Inc_1746461689005 SHAKEN 068F","https://certificates.peeringhub.io/068F/R9BZLjdJ/068F.crt"
"077L","Telnextrix","Telnextrix_1736792856068 SHAKEN 077L","https://certificates.peeringhub.io/077L/IF7E6eZV/077L.crt"
"088K","SmartTel Inc 2025","SHAKEN 088K","https://prov.smarttelinc.net/shaken/cert.pem"
"165L","TheSchmied LLC","TheSchmied LLC_1743452080175 SHAKEN 165L","https://certificates.peeringhub.io/165L/6VcNHkLl/165L.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1743685125410 SHAKEN 198K","https://certificates.peeringhub.io/198K/LUS6D9e6/198K.crt"
"255K","MAQS Solutions LLC","MAQS Solutions LLC_1748114156658 SHAKEN 255K","https://certificates.peeringhub.io/255K/tDGE7FI4/255K.crt"
"279K","Infinity Sip","Infinity Sip_1743019587569 SHAKEN 279K","https://certs.icallr.com/279K/infinitysip.pem"
"281K","INSTACALL","INSTACALL LLC_1737586625863 SHAKEN 281K","https://cr.46labs.com/cr/instacall/instacall.pem"
"288K","Apex","Apex Teleocm LLC_1732515132751 SHAKEN 288K","https://sproxy1.teleserosuite.com/288K_2025"
"458K","Perfect Network LLC","Perfect Network LLC_1722634425181 SHAKEN 458K","https://certificates.peeringhub.io/458K/cdst3ejQ/458K.crt"
"586K","Jaintel","Jaintel LLC SHAKEN 586K","https://jaintel.46labs.com/jaintel.pem"
"611J","Telcast Networks","Telcast Networks_1719335648799 SHAKEN 611J","https://ssc.getsipnav.com/certs/724dcfb47a877f9ba8cf306376dfde026b11b227"
"676K","IronSIP LLC","IronSIP LLC_1735250708660 SHAKEN 676K","https://certificates.peeringhub.io/676K/ISsHhk09/676K.crt"
"677K","Autodial Telecommunications LLC","Autodial Telecommunications LLC_1723148189119 SHAKEN 677K","https://certificates.peeringhub.io/677K/r1RvaBfe/677K.crt"
"712K","Voipedia","Voipedia_1729536460984 SHAKEN 712K","https://certs.icallr.com/712K/voipedia.pem"
"727K","DIAL WORLD COMMUNICATIONS LLC","DIAL WORLD COMMUNICATIONS LLC_1724804850035 SHAKEN 727K","https://certificates.peeringhub.io/727K/qjDisELB/727K.crt"
"744J","Teleinx, LLC","Teleinx, LLC_1730756614004 SHAKEN 744J","https://certificates.peeringhub.io/744J/YKyL2ekt/744J.crt"
"745K","beltalk","beltalk solutions LLC_1747253421716 SHAKEN 745K","https://certificates.peeringhub.io/745K/CFHznOHy/745K.crt"
"756J","DIDCentral LLC","DiDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/8b81e0419ab8f0d550a87055c9009b3455de57ed"
"811K","VaultTel Solutions Inc","VaultTel Solutions Inc_1720802660210 SHAKEN 811K","https://cdn.cnxcdn.com/shaken/b52cc7c2ce.crt"
"824K","Telecom Business Network LLC","Telecom Business Network LLC_1731008761381 SHAKEN 824K","https://certificates.peeringhub.io/824K/z6AY678S/824K.crt"
"827K","ARit services LLC","ARit services LLC_1746812115427 SHAKEN 827K","https://certificates.peeringhub.io/827K/cOqyHAwz/827K.crt"
"849K","FlowVOIP","FlowVOIP LLC._1744088504457 SHAKEN 849K","https://certificates.peeringhub.io/849K/5VrTk4Aq/849K.crt"
"861J","On","On Air Telecom LLC_1742832914104 SHAKEN 861J","https://onairtel.46labs.com/onairtel.pem"
"883K","Ahoi","Ahoi SHAKEN 883K","https://certificates.peeringhub.io/883K/883K.crt"
"892K","Conveytel","Conveytel_1719257376064 SHAKEN 892K","https://conveytel.peeredge.com/cert/z6wOuJ8R.pem"
"939K","Wavecall LLC","Wavecall LLC_1718137942094 SHAKEN 939K","https://certificates.peeringhub.io/939K/OEwhmbDj/939K.crt"
