OCN,Org Name,CN,Cert
"012J","Apeiron Systems","SHAKEN 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264CB76.pem"
"0179","Laurel Highland Telephone Company","SHAKEN 0179 Laurel Highland Telephone Company","https://cr.sansay.com/0179/429C7C70711E3820F0B8E1DEAE6FF3262264BDB3.pem"
"020K","NETRIO LLC","SHAKEN 020K","https://cr.sansay.com/020K/429C7C70711E3820F0B8E1DEAE6FF3262264CB7A.pem"
"052L","Call Logistics INC","SHAKEN 052L Call Logistics INC","https://autelecom.peeredge.com/cert/eERiTLql.pem"
"053K","WWT INC dba VoIP Networks","SHAKEN 053K","https://cr.sansay.com/053K/429C7C70711E3820F0B8E1DEAE6FF3262264CCC1.pem"
"056K","Ascension Technologies","SHAKEN 056K","https://cr.sansay.com/056K/429C7C70711E3820F0B8E1DEAE6FF3262264BFF5.pem"
"0590","Watchcomm ","SHAKEN 0590","https://cr.sansay.com/0590/429C7C70711E3820F0B8E1DEAE6FF3262264BFEB.pem"
"089K","Logista","SHAKEN 089K","https://cr.sansay.com/089K/429C7C70711E3820F0B8E1DEAE6FF3262264C01C.pem"
"138K","TeleVoIPs","SHAKEN 138K","https://cr.sansay.com/138K/429C7C70711E3820F0B8E1DEAE6FF3262264C0A9.pem"
"1604","Bek Communications Cooperative","SHAKEN Bek Communications Cooperative 1604","https://cr.sansay.com/1604/429C7C70711E3820F0B8E1DEAE6FF3262264A19B.pem"
"1821","InPhonex","SHAKEN InPhonex 1821","https://cr.sansay.com/1821/429C7C70711E3820F0B8E1DEAE6FF3262264B2E0.pem"
"187J","Alvaria","SHAKEN 187J","https://cr.sansay.com/187J/429C7C70711E3820F0B8E1DEAE6FF3262264CB7C.pem"
"195L","PHD Communications","SHAKEN 195L","https://cr.sansay.com/195L/429C7C70711E3820F0B8E1DEAE6FF3262264C7BA.pem"
"203K","Connexum LLC","SHAKEN 203K Connexum LLC","https://cr.sansay.com/203K/429C7C70711E3820F0B8E1DEAE6FF3262264A77B.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CBEE.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CAE7.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CB0B.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CBCD.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CBAA.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CB54.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CA5B.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CAA2.pem"
"210J","Greenfly Networks Inc dba Clearfly Communications","SHAKEN Greenfly Networks Inc dba Clearfly Communications 210J","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264CA7F.pem"
