OCN,Org Name,CN,Cert
"014L","First Tele Communications Inc","SHAKEN 014L","https://certs.telonium.net/25/b5953bd1.crt"
"014L","First Tele Communications Inc","SHAKEN 014L","https://certs.telonium.net/24/3b26c3ff.crt"
"016L","Dial Edge Telecom LLC","SHAKEN 016L","https://certs.telonium.net/24/9b183038.crt"
"018L","Infinititel LLC","SHAKEN 018L","https://infinititel.peeredge.com/cert/lYF7XHUT.pem"
"025L","GradCon Intl LLC","SHAKEN 025L","https://cdn.cnxcdn.com/shaken/b190235921.crt"
"033L","Globilinks Cloud Services LLC","SHAKEN 033L","https://certs.telonium.net/24/6f1f4c50.crt"
"034L","Tele-Data Communications Corporation","SHAKEN 034L","https://eon.peeredge.com/cert/s447T28n.pem"
"037L","Tele-C Communications Corporation","SHAKEN 037L","https://certs.telonium.net/24/589d3e00.crt"
"037L","Tele-C Communications Corporation","SHAKEN 037L","https://certs.telonium.net/25/46dd22db.crt"
"042L","Telepath Communications Corp","SHAKEN 042L","https://eon.peeredge.com/cert/NIJA8BOr.pem"
"086L","Mexico IP Phone LLC","SHAKEN 086L","https://ssc.getsipnav.com/certs/bbde6c2b4a7229cca5d3b00f2a633182171dac13"
"123L","Navitech Solutions LLC","SHAKEN 123L","https://coztel.peeredge.com/cert/lKjXtorO.pem"
"141L","Eugene Perkins Group LLP","SHAKEN 141L","https://certs.telonium.net/25/cf428f5d.crt"
"142L","Kallzer Tech LLC","SHAKEN 142L","https://cdn.cnxcdn.com/shaken/07274cfa59.crt"
"144L","Flexo Telecom LLC","SHAKEN 144L","https://certs.telonium.net/ocn/144L.crt"
"155L","EZ VoIP LLC","SHAKEN 155L","https://sproxy1.teleserosuite.com/155L_2025"
"161K","9171-5573 Quebec Inc","SHAKEN 161K","https://shaken-9171-5573-quebec-inc.s3.us-east-2.amazonaws.com/pubKeys/4722b9c5.crt"
"176L","Telepars Telecommunications Corp","SHAKEN 176L","https://eon.peeredge.com/cert/LShmLxSX.pem"
"178L","UTEL USA LLC","SHAKEN 178L","https://eon.peeredge.com/cert/LHBPGlEG.pem"
"183L","Nationwide Telecom Inc","SHAKEN 183L","https://eon.peeredge.com/cert/A8lQtFlk.pem"
"187L","Nikoo Incorporated","SHAKEN 187L","https://eon.peeredge.com/cert/Khz0m1yD.pem"
"188L","TeleOneTen Inc","SHAKEN 188L","https://eon.peeredge.com/cert/qsWAQxa6.pem"
"217L","Nationwide Telecom Inc - Canada","SHAKEN 217L","https://eon.peeredge.com/cert/s17bdPXJ.pem"
"223L","VoxStrom LLC","SHAKEN 223L","https://cdn.cnxcdn.com/shaken/2b68e1ea3c.crt"
"225L","Telecomez Corp","SHAKEN 225L","https://eon.peeredge.com/cert/84fIjtNe.pem"
"241L","BF Communications Inc","SHAKEN 241L","https://eon.peeredge.com/cert/2H2gpNwN.pem"
"242L","ULTATEL LLC","SHAKEN 242L","https://cdn.ultatel.com/shaken.pem"
"442K","Meta-Lynk LLC","SHAKEN 442K","https://cdn.cnxcdn.com/shaken/bdd4efd9d4.crt"
"520F","digitalIpvoice Inc","SHAKEN 520F","https://x3x.us/jaoe0qp/9"
"633K","Telkart LLC","SHAKEN 633K","https://telkart.46labs.com/telkart.pem"
"651K","Callsy Network LLC","SHAKEN 651K","https://certificates.peeringhub.io/651K/651K.crt"
"656K","Anveo Inc","SHAKEN 656K","http://anv-cert.s3.amazonaws.com/anveo072023.crt"
"698K","Vitel Global Communication LLC","SHAKEN 698K","https://certs.telonium.net/25/95ce6176.crt"
"709K","Coastal Redwood Networks LLC","SHAKEN 709K","https://certs.telonium.net/24/772a7300.crt"
"715K","Telorca LLC","SHAKEN 715K","https://certificates.peeringhub.io/715K/715K.crt"
"755J","CMSInter.net LLC","SHAKEN 755J","https://certs.telonium.net/24/da9f839e.crt"
"772J","VoIP Essential LLC","SHAKEN 772J","https://www.voipessential.com/certs/qxHaMBKwkLyNA3gtdQh4E5.crt"
"785K","TechRx LLC","SHAKEN 785K","https://certs.telonium.net/25/3b479ca6.crt"
"825J","Rural Telecom Experts Inc","SHAKEN 825J","https://eon.peeredge.com/cert/5WwVcH7G.pem"
"830K","Cebod Technologies LLC","SHAKEN 830K","https://certs.telonium.net/25/b3b00e31.crt"
"847K","BlueTech Networks LLC","SHAKEN 847K","https://ssc.getsipnav.com/certs/5f59d0c87a925e0ea0ef9f65214302711b824131"
"854K","UHK Networks LLC","SHAKEN 854K","https://ssc.getsipnav.com/certs/35b6438acf154c4814d7c3cf8cc0f4e03d75b23b"
"865K","Siplink Communications","SHAKEN 865K","https://hostedpbx.siplink.in/new_cert.crt"
"902K","BTBIZ LLC","SHAKEN 902K","https://btbiz.peeredge.com/cert/WYrVfLvc.pem"
"930K","QEMERT Pro Technology SRL","SHAKEN 930K","https://certs.telonium.net/24/ebf37ff6.crt"
"963J","Freevoice Inc","SHAKEN 963J","https://freevoiceusa.com/963J_24"
"974K","SIP Crew LLC","SHAKEN 974K","https://cdn.cnxcdn.com/shaken/58c3abfdfe.crt"
"979K","Vonexta Inc","SHAKEN 979K","https://certs.telonium.net/24/e29dc4ea.crt"
"991K","ABvoiptel LLC","SHAKEN 991K","https://coztel.peeredge.com/cert/mLLEnVJO.pem"
