OCN,Org Name,CN,Cert
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/f78cb544ceb51cdff6321ef01fe4a430.pem"
"0172","CallTower","SHAKEN 0172","https://certificates.transnexus.com/0172/e3573e88-53e8-4c64-a32c-3ef296342985.pem"
"0172","CallTower","SHAKEN 0172","https://certificates.transnexus.com/0172/b0f3c776-6ba4-43b8-9477-db4f6cad2a02.pem"
"073H","Telnyx LLC","SHAKEN 073H","https://certificates.transnexus.com/073H/6ad8ad30-5604-4a9a-892a-f55fe165c02f.pem"
"073H","Telnyx LCC","SHAKEN 073H","https://certificates.transnexus.com/073H/7b2c36bd-9f11-4998-bc31-a6072680a8f2.pem"
"0759","Andrew Ward Consulting LLC","SHAKEN 0759","https://certificates.clearip.com/3446023b-a4a3-4abb-a8fd-dbbd08f4a4d2/5438bb925dd572be8c40239d9a1509da.pem"
"107K","Atheral","SHAKEN 107K","https://certificates.clearip.com/4ba6f296-2d7c-42c2-8fe4-12b74f5076df/43596b93186d4d6889c48ccc8e34b66c.pem"
"1577","Great Plains Communications","SHAKEN 1577","https://certificates.clearip.com/5e573b0a-6141-441b-bedb-f350aa71625f/3236291ef829d1931e3ce8e35f1db3ca.pem"
"1577","Great Plains Communications","SHAKEN 1577","https://certificates.clearip.com/e5b1e8c0-a23d-472b-a310-99b1e23f16be/46950a821930fe2759366be3f58acdf3.pem"
"1577","Great Plains Communications","SHAKEN 1577","https://certificates.clearip.com/5e573b0a-6141-441b-bedb-f350aa71625f/81cb36aa1fc3ecd31a30bbe4d535dc35.pem"
"1642","SDN","SHAKEN 1642","https://certificates.clearip.com/1214ae31-f7b7-492d-98ab-6190c6053013/b906be07d10502b6b7fc93e5a5daedda.pem"
"177K","Cytracom, LLC","SHAKEN 177K","https://certificates.clearip.com/8d118994-4994-4735-ac71-42c0bbb7848f/c022bcf1a45e0e16a1dbb987a9b03cfb.pem"
"1826","Nex-Tech, LLC","SHAKEN 1826","https://certificates.clearip.com/2fb590ef-1300-4481-b00c-164b447c8c08/eb19e1337bd604d6b84f833a38a4a49b.pem"
"193E","8x8 Inc","SHAKEN 193E","https://certificates.transnexus.com/193E/420bca81-7d60-485a-abde-57fd5f1f4804.pem"
"193E","8x8 Inc","SHAKEN 193E","https://certificates.transnexus.com/193E/ab57deba-96b9-4605-a505-ae0c1386c6a4.pem"
"219H","Network Enhanced Telecom LLP","SHAKEN 219H","https://certificates.transnexus.com/219H/41fb1926-017a-4159-af36-bfadb1eb29de.pem"
"2720","Fusion Connect","SHAKEN 2720","https://prod001-cr.rbbnidhub.com/8ZJdVFg7gz/1"
"278K","OIT","SHAKEN 278K","https://certificates.clearip.com/36952c34-78d8-4c32-9499-188a418f31ba/3f7bf2da7fba24bf001fa25191257560.pem"
"299K","Weave","SHAKEN 299K","https://certificates.transnexus.com/299K/b19a5d8b-560e-4014-80c9-bd2085136af6.pem"
"345J","Ooma Inc","SHAKEN 345J","https://certificates.transnexus.com/345J/9d96d9cc-5bc1-405e-a17c-94466e47a695.pem"
"345J","Ooma Inc","SHAKEN 345J","https://certificates.transnexus.com/345J/5e68f19d-6982-42a0-8161-79c9f9677b76.pem"
"345J","Ooma Inc","SHAKEN 345J","https://certificates.transnexus.com/345J/06c31a42-9949-4290-931c-4e6b2ab7c02e.pem"
"366G","USA Digital","SHAKEN 366G","https://certificates.transnexus.com/366G/83363f8c-c945-4109-87ea-7e91740bb77a.pem"
"366G","USA Digital","SHAKEN 366G","https://certificates.transnexus.com/366G/2d921d50-0fc9-41ee-b265-a6529fe26386.pem"
"3704","TEC of Jackson","SHAKEN 3704","https://certificates.clearip.com/94d93edb-3229-4be8-b1ae-79c020c2fd95/632ecf821b594271a556069b9ceee4cc.pem"
"4036","ATT","SHAKEN 4036","https://cert.sticr.att.net:8443/certs/att/38ee3b4b-2902-40e8-aa31-e986de9e17ac"
"444G","Aureon","SHAKEN 444G","https://certificates.clearip.com/d61e8937-0b43-4828-9876-81561d25f1de/f27fc381ea7133c37c505f5d5e716040.pem"
"4632","TelNet Worldwide Inc","SHAKEN 4632","https://certificates.transnexus.com/4632/26210141-df5e-43f7-b536-07f6e6d8df58.pem"
"4632","TelNet Worldwide Inc","SHAKEN 4632","https://certificates.transnexus.com/4632/887ba31e-3b10-4ab8-993a-1aa1e45ffaf4.pem"
"495K","HelloSpoke","SHAKEN 495K","https://certificates.clearip.com/ae397985-0ec2-4bcf-b83f-d4a0ed9351d9/49f35f0640308be73f7163e03f1dfe2a.pem"
"505J","HFA Services LLC dba Call48","SHAKEN 505J","https://certificates.transnexus.com/505J/5a4dc313-187c-4209-ac3b-ecc04bb53be4.pem"
"505J","HFA Services LLC dba Call48","SHAKEN 505J","https://certificates.transnexus.com/505J/68edb231-67c1-4460-a2c9-cc461aa2fdc8.pem"
"551G","Brightlink Communications LLC","SHAKEN 551G","https://certificates.transnexus.com/551G/d3a32bd8-dcb0-4434-820f-59af0a54bced.pem"
"577F","Ringsquared","SHAKEN 577F","https://certificates.transnexus.com/577F/a1684f5c-58ae-4335-9810-1ee044808cc0.pem"
"577F","Ringsquared","SHAKEN 577F","https://certificates.transnexus.com/577F/5ce9c39c-89d4-4718-be98-eddee48ad21c.pem"
"578J","Call Tools Inc","SHAKEN 578J","https://certificates.transnexus.com/578J/6389f7f5-aad0-4389-903d-a555d5169939.pem"
"597J","Voxtelesys","SHAKEN 597J","https://certificates.transnexus.com/597J/8f1529ee-2db6-44f1-b155-3434a0b86ee5.pem"
"604K","In-Telecom","SHAKEN 604K","https://certificates.clearip.com/7f737783-bafd-48a8-a8f8-a4781781e950/916eefb7f1da352a944a827fc0db4687.pem"
"606F","Global Data Systems Inc.","SHAKEN 606F","https://certificates.clearip.com/756cb700-f9d2-4a05-850e-c9dfe3e22de4/dc57ca9c6fdd91d0d1ce27b9127990a7.pem"
"622J","Skye Telecom LLC","SHAKEN 622J","https://certificates.transnexus.com/622J/363451d5-e10f-44ea-b64b-16d55defc624.pem"
"6233","Southern Telecommunications Co, LLC","SHAKEN 6233","https://certificates.clearip.com/9b6336c6-a756-47eb-a80c-384319297ebb/895d6710cb5ed7c8795d55f6ad3e54ed.pem"
"663G","Andrew Ward Consulting LLC","SHAKEN 663G","https://certificates.clearip.com/130d8785-08a5-428a-9734-e37a9f3641a6/5d20d97fd6a0cdfdb4677e240109e285.pem"
"663G","Andrew Ward Consulting LLC","SHAKEN 663G","https://certificates.clearip.com/130d8785-08a5-428a-9734-e37a9f3641a6/7a76b02f9e78aa96e4f99d0d918d9138.pem"
"663J","CCI","SHAKEN 663J","https://certificates.transnexus.com/663J/9f9174f8-3b6a-47cb-a73f-ae09e67aafff.pem"
"691J","Toly Digital Networks Inc","SHAKEN 691J","https://certificates.clearip.com/84c98183-b28e-415a-8dc4-ba02b9ca5418/27f1697886daf6710987ebe1e82f95a2.pem"
"706J","TCN","SHAKEN 706J","https://certificates.transnexus.com/706J/50ecc27e-770a-4239-a994-dddc8c4c95d9.pem"
"722J","EvolveIP LLC","SHAKEN 722J","https://certificates.transnexus.com/722J/2110a634-d0e6-486a-8ec6-43d133864a46.pem"
"726J","Votacall Inc","SHAKEN 726J","https://certificates.clearip.com/88dbb645-62bf-4d40-960c-4e8e3223880f/41c52e78671ec261acf8ecb10f5ce62c.pem"
"733J","Wiretap Telecom","SHAKEN 733J","https://certificates.clearip.com/257dc117-4652-4444-9058-fceb2d81e92c/9a306425656f2925abcaa28790cb4a06.pem"
"735J","AVOXI Inc.","SHAKEN 735J","https://certificates.clearip.com/11124177-79f3-48b2-867a-386d4dc61c99/3aecc4434d56a111616e0156351f1929.pem"
"736J","Masergy Communications","SHAKEN 736J","https://certificates.transnexus.com/736J/c98eac7f-4658-48e9-a3ca-a5d83ed0d99b.pem"
"738J","SkySwitch","SHAKEN 738J","https://certificates.transnexus.com/738J/711534b8-9aec-4080-89c8-9ae7997e45ed.pem"
"747J","Magic Apple","SHAKEN 747J","https://certificates.clearip.com/9e31f6fe-cfd3-49cc-b9fc-22963012a8d7/aa1d5019d93764014384bdc00703b7cb.pem"
"807J","SipPhony LLC","SHAKEN 807J","https://certificates.transnexus.com/807J/7a1ed9e2-c9bd-48b2-b4bd-8fff52e3c165.pem"
"807J","SipPhony LLC","SHAKEN 807J","https://certificates.transnexus.com/807J/50333fe0-134b-4438-a13b-eb1d904c135a.pem"
"815G","382 Communications","SHAKEN 815G","https://certificates.transnexus.com/815G/289fb6c6-a393-417d-a28b-16120b5ec7ce.pem"
"819H","BluIP Inc.","SHAKEN 819H","https://certificates.clearip.com/3c4ce448-386b-4d47-a276-7fe32e380a83/3ad3c202da7075c89e5dce33a1af7cbf.pem"
"841J","Securus Technologies LLC","SHAKEN 841J","https://certificates.transnexus.com/841J/3f2f0a3e-aedc-4340-a8ab-f6184d71bcde.pem"
"8526","MetTel","SHAKEN 8526","https://certificates.transnexus.com/8526/b12d68b2-b704-4de8-89eb-381c7e367476.pem"
"860K","NTT Cloud Communications","SHAKEN 860K","https://certificates.transnexus.com/860K/2619a7fe-fa03-4170-9b83-2917562225d0.pem"
"866J","VocalIP","SHAKEN 866J","https://certificates.transnexus.com/866J/80cc5dd0-1bd8-4a6c-94c6-f8b3a35e51d9.pem"
