OCN,Org Name,CN,Cert
"005K","Primevox Communications, LLC","SHAKEN 005K","https://pvx1.s3.us-east-2.amazonaws.com/stirshaken/public_certificate.cer"
"006L","VoyageNetworks","VoyageNetworks_1742590882637 SHAKEN 006L","https://voipedia.peeredge.com/cert/QKgErsFH.pem"
"006L","VoyageNetworks","VoyageNetworks_1728672609930 SHAKEN 006L","https://voipedia.peeredge.com/cert/vTIeUNV1.pem"
"0088","Delhi Telephone Company","SHAKEN 0088","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/237.564"
"012J","Apeiron Systems","SHAKEN 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264CB76.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/f78cb544ceb51cdff6321ef01fe4a430.pem"
"014L","First Tele Communications Inc","SHAKEN 014L","https://certs.telonium.net/25/b5953bd1.crt"
"014L","First Tele Communications Inc","SHAKEN 014L","https://certs.telonium.net/24/3b26c3ff.crt"
"016L","Dial Edge Telecom LLC","SHAKEN 016L","https://certs.telonium.net/24/9b183038.crt"
"0172","CallTower","SHAKEN 0172","https://certificates.transnexus.com/0172/e3573e88-53e8-4c64-a32c-3ef296342985.pem"
"0172","CallTower","SHAKEN 0172","https://certificates.transnexus.com/0172/b0f3c776-6ba4-43b8-9477-db4f6cad2a02.pem"
"0179","Laurel Highland Telephone Company","SHAKEN 0179 Laurel Highland Telephone Company","https://cr.sansay.com/0179/429C7C70711E3820F0B8E1DEAE6FF3262264BDB3.pem"
"018L","Infinititel LLC","SHAKEN 018L","https://infinititel.peeredge.com/cert/lYF7XHUT.pem"
"020K","NETRIO LLC","SHAKEN 020K","https://cr.sansay.com/020K/429C7C70711E3820F0B8E1DEAE6FF3262264CB7A.pem"
"023B","Big River Telephone Company","SHAKEN 023B","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11133.10887.pem"
"023K","Pulsar360 Corp","SHAKEN 023K","https://ecms.securetransit.net/certs/159f2eaefcbba7900be5f7f7e1cd77fa.cer"
"025L","GradCon Intl LLC","SHAKEN 025L","https://cdn.cnxcdn.com/shaken/b190235921.crt"
"030J","ANI Networks","SHAKEN 030J","https://certs.iverify-aninetworks.net/aninetworks_20260303.crt"
"033L","Globilinks Cloud Services LLC","SHAKEN 033L","https://certs.telonium.net/24/6f1f4c50.crt"
"034L","Tele-Data Communications Corporation","SHAKEN 034L","https://eon.peeredge.com/cert/s447T28n.pem"
"037L","Tele-C Communications Corporation","SHAKEN 037L","https://certs.telonium.net/24/589d3e00.crt"
"037L","Tele-C Communications Corporation","SHAKEN 037L","https://certs.telonium.net/25/46dd22db.crt"
"0401","Duo Broadband ","Duo Broadband SHAKEN Cert 0401","https://cdn-cr.cgah.tnsi.com/certs/e6c8f8013706c0cbf0a78beb80d1f21374f43b1d"
"0425","Fastwyre Broadband","Fastwyre Broadband SHAKEN Cert 0425","https://cdn-cr.cgah.tnsi.com/certs/4f2a4a764bced7e27a5c80067dd0410ddd1b9e02"
"042L","Telepath Communications Corp","SHAKEN 042L","https://eon.peeredge.com/cert/NIJA8BOr.pem"
"0432","Kaplan Telephone","Kaplan Telephone SHAKEN 0432","https://cdn-cr.cgah.tnsi.com/certs/e8a30914a93822abe2262f6ffedfadd7837edc3e"
"0435","Northeast Louisiana Telephone Co Inc","SHAKEN 0435","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/217.696"
"049K","Dialpad Inc","SHAKEN 049K","https://fstelephony.dialpad.net/static/cert/shaken_identity_2025_1.cer"
"0523","Hargray Communications Group Inc","SHAKEN 0523","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/221.573"
"052L","Call Logistics INC","SHAKEN 052L Call Logistics INC","https://autelecom.peeredge.com/cert/eERiTLql.pem"
"053K","WWT INC dba VoIP Networks","SHAKEN 053K","https://cr.sansay.com/053K/429C7C70711E3820F0B8E1DEAE6FF3262264CCC1.pem"
"0562","DTC Communications","DTC Communications SHAKEN 0562","https://cdn-cr.cgah.tnsi.com/certs/82cf7b9a6d32df6dbe88d1a380b594f4be506929"
"056K","Ascension Technologies","SHAKEN 056K","https://cr.sansay.com/056K/429C7C70711E3820F0B8E1DEAE6FF3262264BFF5.pem"
"056L","1234Voip.com LLC","1234Voip.com LLC_1733962630456 SHAKEN 056L","https://certificates.peeringhub.io/056L/KDR68pha/056L.crt"
"0590","Watchcomm ","SHAKEN 0590","https://cr.sansay.com/0590/429C7C70711E3820F0B8E1DEAE6FF3262264BFEB.pem"
"063E","Peerless Network","SHAKEN 063E","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11184.10799.pem"
"066L","Tacit","Tacit Solutions LLC_1748293549184 SHAKEN 066L","https://cdn.cnxcdn.com/shaken/51830bb4c2.crt"
"067K","Junction Networks Inc","SHAKEN 067K","https://stir-shaken.jnctn.net/onsip-stir-shaken.pem"
"068F","Fullnet Advanced Communications Inc","Fullnet Advanced Communications Inc_1746461689005 SHAKEN 068F","https://certificates.peeringhub.io/068F/R9BZLjdJ/068F.crt"
"0734","Waldron Telephone Company","SHAKEN 0734","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/224.569"
"073H","Telnyx LLC","SHAKEN 073H","https://certificates.transnexus.com/073H/6ad8ad30-5604-4a9a-892a-f55fe165c02f.pem"
"073H","Telnyx LCC","SHAKEN 073H","https://certificates.transnexus.com/073H/7b2c36bd-9f11-4998-bc31-a6072680a8f2.pem"
"074K","Coztel LLC","SHAKEN 074K","https://ssc.getsipnav.com/certs/9781afd1cf591e1f693706e5f90132954ab0ec9b"
"0759","Andrew Ward Consulting LLC","SHAKEN 0759","https://certificates.clearip.com/3446023b-a4a3-4abb-a8fd-dbbd08f4a4d2/5438bb925dd572be8c40239d9a1509da.pem"
"077L","Telnextrix","Telnextrix_1736792856068 SHAKEN 077L","https://certificates.peeringhub.io/077L/IF7E6eZV/077L.crt"
"086L","Mexico IP Phone LLC","SHAKEN 086L","https://ssc.getsipnav.com/certs/bbde6c2b4a7229cca5d3b00f2a633182171dac13"
"088J","IPtelX, LLC","SHAKEN 088J","https://p.mtsec.me/2e5a/Y7IOzO461lr9.pem"
"088K","SmartTel Inc 2025","SHAKEN 088K","https://prov.smarttelinc.net/shaken/cert.pem"
"089K","Logista","SHAKEN 089K","https://cr.sansay.com/089K/429C7C70711E3820F0B8E1DEAE6FF3262264C01C.pem"
"0900","Lemonweir Valley Telephone Company","Lemonweir Valley Telephone Company SHAKEN Cert 0900","https://cdn-cr.cgah.tnsi.com/certs/a9a2447c07d34796f48eba3c111c847c93675956"
"095A","Ritter Communications","Ritter Communications SHAKEN cert 095A","https://cdn-cr.cgah.tnsi.com/certs/7721a7f2c31bb0f15ac5d46257b8c3bee1bbae6f"
"098L","Advanced Tel Inc","SHAKEN 098L","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11587.10915.pem"
