OCN,Org Name,CN,Cert
"023K","Pulsar360 Corp","SHAKEN 023K","https://ecms.securetransit.net/certs/06517b2e2010ec1a2b429664047353b6.cer"
"030J","ANI Networks","SHAKEN 030J","https://certs.iverify-aninetworks.net/aninetworks_20250307.crt"
"0347","Brantley Telephone Company Inc","SHAKEN 0347","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/181.431"
"049K","Dialpad Inc","SHAKEN 049K","https://fst-20230823-3-dot-fstelephony.appspot.com/static/cert/shaken_identity_2023_1.cer"
"049K","Dialpad Inc.","SHAKEN 049K","https://fst-20240529-3-dot-fstelephony.appspot.com/static/cert/shaken_identity_2024_1.cer"
"0523","Hargray Communications Group Inc","SHAKEN 0523","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/221.573"
"0734","Waldron Telephone Company","SHAKEN 0734","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/224.569"
"074K","Coztel LLC","SHAKEN 074K","https://coztel.com/certificates/d373c8fa55b4fe046a14420e3c1c0deb.cer"
"074K","Coztel Carrier","SHAKEN 074K","https://ssc.getsipnav.com/certs/72bbf8fad95d5b9cc085ab8296f642ac091647b6"
"1049","Madison Telephone Company","SHAKEN 1049","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/215.302"
"139K","FaxLogic, LLC","SHAKEN 139K","https://cdn.pgxn.net/sti/20250522.cer"
"171K","Voice Logic, LLC","SHAKEN 171K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/164.568"
"181D","Hunt Telecommunications","SHAKEN 181D","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11596.10438.pem"
"219K","Avaya Cloud Inc","SHAKEN 219K","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11553.10260.pem"
"224C","Onvoy, LLC","SHAKEN 224C","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/1.434"
"235C","Pine Cellular Phones","SHAKEN 235C","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/257.589"
"2455","Benkelman Telephone Co Inc","SHAKEN 2455","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/242.379"
"261H","Voyce","SHAKEN 261H","https://ssc.getsipnav.com/certs/b1f83b2a8803ca5297ced7cb375cc6f5e2b44f85"
"292K","Falcon Endeavors","SHAKEN 292K","https://ssc.getsipnav.com/certs/121b5f2f8e2239ba93c6af3c31d4e1f30d04b832"
"312K","AMCS LLC","SHAKEN 312K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/279.455"
"333K","Aovatalk","SHAKEN 333K","https://cr.veriswitch.com/aovatalk/9e1cb60f2ae123355ccbab4ba99ca9de.cer"
"4036","AT&T Services, Inc.","SHAKEN 4036","https://cert2.sticr.att.net:8443/sti-cr/att-stica1719858820982-cert.crt"
"436J","Hadlo Technologies","SHAKEN 436J","https://www.hadlotechnologies.com/ss_certs/hadlo_ssi_public_20231113.crt"
"502E","Accessline Communications Corp","SHAKEN 502E","https://sscerts.accessline.com/sscerts/Cert-US-04-2023.crt"
"502E","AccessLine Communications Inc","SHAKEN 502E","https://sscerts.accessline.com/sscerts/Cert-US-04-2024.crt"
"502J","Piratel LLC","SHAKEN 502J","https://certificates.piratel.com/piratel_20240813.crt"
"506J","Twilio International Inc","SHAKEN 506J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11604.10213.pem"
"510J","Simwood Inc","SHAKEN 510J","https://cdn.simwood.com/shaken/simwood_2023.crt"
"525K","AU TELECOM LLC","SHAKEN 525K","https://ssc.getsipnav.com/certs/43da6cc2f2e844f73c7ff763c81b6bbdf60a0912"
"545B","Citynet LLC","SHAKEN 545B","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/182.450"
"5493","Netcarrier Telecom Inc","SHAKEN 5493","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/95.445"
"558a","D&P Communications","SHAKEN 558a","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11569.10725.pem"
"5606","Charter Communications, LLC","SHAKEN 5606","https://shaken.spectrum.com/0f9d8a67c3047902bffab77edf2e246f.cer"
"5606","Charter Communications, Inc.","SHAKEN 5606","https://shaken.spectrum.com/a9214dea8d75b74eb4717f01ceecf0ad.cer"
"597F","VoIP Innovations LLC","SHAKEN 597F","https://ssc.getsipnav.com/certs/4271238eaebdb4a770896e8a3a4d18618f648cb6"
"611J","Telcast Networks","SHAKEN 611J","https://ssc.getsipnav.com/certs/2ae1590ba7b804c703e2af2842d1290fe9a70fc0"
"653K","NGN LATAM Corp","SHAKEN 653K","https://ssc.getsipnav.com/certs/810723d5a9f926973ae9e237f68202bf55cbb52f"
"653K","NGN LATAM Corp","SHAKEN 653K","https://ssc.getsipnav.com/certs/8ed52b46f8da15dbe280cc4903246263747104e0"
"6744","Southern Linc","SHAKEN-6744","https://prod001-cr.rbbnidhub.com/frvFJbsMgz/sign-cert3"
"6744","Southern Linc","SHAKEN 6744","https://prod001-cr.rbbnidhub.com/frvFJbsMgz/sign-cert4"
