OCN,Org Name,CN,Cert
"088K","SmartTel Inc 2025","SHAKEN 088K","https://prov.smarttelinc.net/shaken/cert.pem"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC SHAKEN 198K","https://certificates.peeringhub.io/198K/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1712927904186 SHAKEN 198K","https://certificates.peeringhub.io/198K/61zzWXty/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1716210025426 SHAKEN 198K","https://certificates.peeringhub.io/198K/PM61Zm6U/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1725716764206 SHAKEN 198K","https://certificates.peeringhub.io/198K/T7aOHvaW/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1722431613535 SHAKEN 198K","https://certificates.peeringhub.io/198K/TW3gfrOB/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC_1719233450326 SHAKEN 198K","https://certificates.peeringhub.io/198K/tV4mxZpO/198K.crt"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC SHAKEN 198K","https://www.talkasiavoip.com/198K.pem"
"255K","MAQS Solutions LLC","MAQS Solutions LLC_1722630159854 SHAKEN 255K","https://certificates.peeringhub.io/255K/Se29F0M6/255K.crt"
"255K","MAQS Solutions LLC","MAQS Solutions LLC_1725847516773 SHAKEN 255K","https://certificates.peeringhub.io/255K/XSzdXyDx/255K.crt"
"255K","MAQS Solutions LLC","MAQS Solutions LLC_1720037799929 SHAKEN 255K","https://certificates.peeringhub.io/255K/l1mT8XrO/255K.crt"
"255K","MAQS Solutions LLC","MAQS Solutions LLC_1717362522141 SHAKEN 255K","https://certificates.peeringhub.io/255K/swr3yOMJ/255K.crt"
"279K","Infinity Sip","Infinity Sip_1709835154271 SHAKEN 279K","https://icallr.com/279K/infinitysip.pem"
"281K","INSTACALL","INSTACALL LLC_1737586625863 SHAKEN 281K","https://cr.46labs.com/cr/instacall/instacall.pem"
"288K","Apex","Apex Teleocm LLC_1732515132751 SHAKEN 288K","https://certificates.peeringhub.io/288K/ufBKIkA6/288K.crt"
"288K","Apex Telecom LLC","Apex Telecom LLC SHAKEN 288K","https://s3.amazonaws.com/certificates.peeringhub.io/288K/288K.crt"
"331K","PROCESAMOS LLC","SHAKEN 331K","https://billing.procesamos.net/cert/331K.pem"
"438K","Televoip","Televoip SHAKEN 438K","https://ssc.getsipnav.com/certs/525bf6e144190a8232ed2c15770df226099ff1ff"
"438K","TeleVoip ESC LLC","TeleVoip ESC LLC_1699545121983 SHAKEN 438K","https://ssc.getsipnav.com/certs/f5b45519d55a49e91c66b17a24bca2c98ee8d867"
"442K","Meta-lynk","Meta-lynk Telecom SHAKEN 442K","https://cdn.cnxcdn.com/shaken/5a9877f6c8.crt"
"458K","Perfect Network LLC","Perfect Network LLC_1722634425181 SHAKEN 458K","https://certificates.peeringhub.io/458K/cdst3ejQ/458K.crt"
"469K","Celerity Telecommunications, INC","Celerity Telecommunications, INC_1715637183228 SHAKEN 469K","https://certificates.peeringhub.io/469K/sNSduh1d/469K.crt"
"469K","Celerity Telecom","Celerity Telecom SHAKEN 469K","https://s3.amazonaws.com/certificates.peeringhub.io/469K/469K.crt"
"507K","Dialzilla","Dialzilla SHAKEN 507K","https://certificates.peeringhub.io/507K/507K.crt"
"586K","Jaintel","Jaintel LLC SHAKEN 586K","https://certificates.peeringhub.io/586K/586K.crt"
"589K","elmiris llc","Elmiris LLC SHAKEN 589K","https://certificates.peeringhub.io/589K/589K.crt"
"602K","Phonetime Inc","Phonetime Inc SHAKEN 602K","https://certificates.peeringhub.io/602K/phonetime.pem"
"611J","Telcast Networks","Telcast Networks_1719335648799 SHAKEN 611J","https://ssc.getsipnav.com/certs/724dcfb47a877f9ba8cf306376dfde026b11b227"
"650K","INTENEXT TELECOM LLC","INTENEXT TELECOM LLC 1 SHAKEN 650K 1","https://certificates.peeringhub.io/650K/650K.crt"
"670K","Legrand Telecom","Legrand Telecom SHAKEN 670K","https://certificates.peeringhub.io/670K/670K.crt"
"676K","IronSIP LLC","IronSIP LLC_1715023953862 SHAKEN 676K","https://certificates.peeringhub.io/676K/Y7Tt1BPb/676K.crt"
"676K","IronSIP LLC","IronSIP LLC_1720848931899 SHAKEN 676K","https://certificates.peeringhub.io/676K/m27VBTMp/676K.crt"
"676K","IronSIP LLC","IronSIP LLC_1717699651837 SHAKEN 676K","https://certificates.peeringhub.io/676K/ujghyXBx/676K.crt"
"676K","IronSIP LLC","IronSIP LLC_1724089660391 SHAKEN 676K","https://certificates.peeringhub.io/676K/yzv1aP3i/676K.crt"
"712K","Voipedia","Voipedia SHAKEN 712K","https://certificates.peeringhub.io/712K/712K.crt"
"727K","DIAL WORLD COMMUNICATIONS LLC","DIAL WORLD COMMUNICATIONS LLC_1716406138075 SHAKEN 727K","https://certificates.peeringhub.io/727K/ONV9nBFu/727K.crt"
"727K","DIAL WORLD COMMUNICATIONS LLC","DIAL WORLD COMMUNICATIONS LLC_1722260862237 SHAKEN 727K","https://certificates.peeringhub.io/727K/RauKn7ym/727K.crt"
"727K","DIAL WORLD COMMUNICATIONS LLC","DIAL WORLD COMMUNICATIONS LLC_1714441241325 SHAKEN 727K","https://certificates.peeringhub.io/727K/hCYLgll8/727K.crt"
"727K","DIAL WORLD COMMUNICATIONS LLC","DIAL WORLD COMMUNICATIONS LLC_1724804850035 SHAKEN 727K","https://certificates.peeringhub.io/727K/qjDisELB/727K.crt"
"745K","beltalk","beltalk solutions LLC_1727737340643 SHAKEN 745K","https://certificates.peeringhub.io/745K/745K.crt"
"745K","beltalk","beltalk solutions LLC_1747253421716 SHAKEN 745K","https://certificates.peeringhub.io/745K/CFHznOHy/745K.crt"
"756J","DIDCentral LLC","DiDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/17a972c57bc9694c70c8aae3b76c819f8a98a2a0"
"756J","DIDCentral LLC","DiDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/486d85fef0f3491f507e5d796383f01b20c65777"
"756J","DIDCentral LLC","DIDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/5f640e21ba4f06b57c5811b27c921b329156a822"
"756J","DIDCentral LLC","DiDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/708a23325ba7a485c296e2ce35bd6314b9b818d5"
"756J","DIDCentral LLC","DiDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/8b81e0419ab8f0d550a87055c9009b3455de57ed"
"756J","DIDCentral LLC","DiDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/8e0ac77d4a098c64dc0600caf5008c06952dd71c"
"756J","DIDCentral LLC","DIDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/92f7b56e7bc6ab17a5e4cc1d0e0e7f7eab169379"
"756J","DIDCentral LLC","DIDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/95cd59db1c44d86162cc81e23d22a884db252689"
"756J","DIDCentral LLC","DiDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/98a015545d25d33c550cd893ac36ffd0902337ad"
"756J","DIDCentral LLC","DIDCentral SHAKEN 756J","https://ssc.getsipnav.com/certs/caeaa70d27aa031ba19638d6ebbd7819bc1f7301"
"756J","DIDCentral LLC","DiDCentral LLC SHAKEN 756J","https://ssc.getsipnav.com/certs/f0aca666c80c541997ab5a6a2dbd6dcad3ab3c6d"
"774K","Tanya David LLC ","Tanya David LLC SHAKEN 774K","https://certificates.peeringhub.io/774K/774K.crt"
"775K","Itel Corp","Itel Corp SHAKEN 775K 2","https://certificates.peeringhub.io/775K/775K.crt"
"783J","IT Vocal LLC","VOCALTRANSIT SHAKEN 783J","https://shaken.vocaltransit.com/783J/vocaltransit-STIRSHAKEN.crt"
"788J","New Age Consulting Service, Inc.","SHAKEN 788J 1692309910","http://sip-proxy01.n2net.net/certs/cert-1692309910"
"788J","New Age Consulting Service, Inc.","SHAKEN 788J 1724072973","http://sip-proxy02.n2net.net/certs/cert-1724072973"
"811K","VaultTel Solutions Inc","VaultTel Solutions Inc_1720802660210 SHAKEN 811K","https://cdn.cnxcdn.com/shaken/b52cc7c2ce.crt"
"827K","ARit services LLC","ARit services LLC_1712167266704 SHAKEN 827K","https://certificates.peeringhub.io/827K/39xmYXmk/827K.crt"
"827K","ARit services LLC","ARit services LLC_1718044397679 SHAKEN 827K","https://certificates.peeringhub.io/827K/4lzsqYlu/827K.crt"
"827K","ARit services LLC","ARit services LLC_1706303744312 SHAKEN 827K","https://certificates.peeringhub.io/827K/HtWCqJla/827K.crt"
"827K","ARit services LLC","ARit services LLC_1727701880593 SHAKEN 827K","https://certificates.peeringhub.io/827K/SDKLR7AZ/827K.crt"
"827K","ARit services LLC","ARit services LLC_1715601463921 SHAKEN 827K","https://certificates.peeringhub.io/827K/bEGR3Wsf/827K.crt"
"827K","ARit services LLC","ARit services LLC_1721059187458 SHAKEN 827K","https://certificates.peeringhub.io/827K/pBSrOYUF/827K.crt"
"827K","ARit services LLC","ARit services LLC_1724341296048 SHAKEN 827K","https://certificates.peeringhub.io/827K/z2bF8txR/827K.crt"
"845K","CIBILLS LLC","CIBILLS LLC SHAKEN 845K","https://certificates.peeringhub.io/845K/845K.crt"
"849K","FlowVOIP","FlowVOIP LLC._1744088504457 SHAKEN 849K","https://cdn.cnxcdn.com/shaken/2cee92bfa4.crt"
"861J","On","On Air Telecom LLC_1742832914104 SHAKEN 861J","https://onairtel.46labs.com"
"861J","On Air Telecom LLC","On Air Telecom LLC SHAKEN 861J","https://s3.amazonaws.com/certificates.peeringhub.io/861J/861J.crt"
"883K","Ahoi","Ahoi SHAKEN 883K","https://certificates.peeringhub.io/883K/883K.crt"
"926K","TruTelco","TruTelco SHAKEN 926K","https://certificates.peeringhub.io/926K/926K.crt"
"939K","Wavecall LLC","Wavecall LLC_1718137942094 SHAKEN 939K","https://certificates.peeringhub.io/939K/OEwhmbDj/939K.crt"
