OCN,Org Name,CN,Cert
"0175","Ironton Telephone","Ironton SHAKEN 1234 0175","https://prod001-prod011-cr.rbbnidhub.com/rOzx_GsVRz/0175-529f0eaf99604f407acaafd164cd7e9d"
"0175","Ironton Telephone","Ironton SHAKEN 1234 0175","https://prod001-prod011-cr.rbbnidhub.com/rOzx_GsVRz/newcert2024-32276ad6675d8537ffc560e3696747c6"
"0496","Randolph Communications","Randolph SHAKEN 0496","https://prod001-prod011-cr.rbbnidhub.com/y7KhPDB4Rz/STI-202305-0496-4d00c291e24d5a5d5c757e8035320452"
"087H","Empire Telephone","Empire SHAKEN 087H","https://prod001-prod011-cr.rbbnidhub.com/Wlp54ZO4gz/087HJAN2024-35973a9ad21daed2759943e6a06798c3"
"087H","Empire Telephone","Empire SHAKEN 087H","https://prod001-prod011-cr.rbbnidhub.com/Wlp54ZO4gz/087HNOV2023-7a28b8ee6335f2abf0116dbac19be755"
"2086","Hill Country Telephone Cooperative","Ribbon SHAKEN 2086","https://prod001-prod011-cr.rbbnidhub.com/JQApas6MRz/10000-54a5c7395fcf8ebacb0d352d1d375852"
"2086","Hill Country Telephone Cooperative","Ribbon SHAKEN 2086","https://prod001-prod011-cr.rbbnidhub.com/JQApas6MRz/HCTCSSNewCert2024-5d8817af116deceac13051a308069aa0"
"2130","Peoples","Peoples SHAKEN 2130","https://prod001-prod011-cr.rbbnidhub.com/R3kZfzj7gz/STI-202406-2130-580fe194a08a84e1a7f02d7988b69fcb"
"3196","Etex","Etex STI SHAKEN 3196","https://prod001-prod011-cr.rbbnidhub.com/DdpJt757Rz/STI-202304-3196-17c4d8150bc3db2f710070278713bc57"
"3196","Etex","Etex STI SHAKEN 3196","https://prod001-prod011-cr.rbbnidhub.com/DdpJt757Rz/STI-202404-3196-580fe194a08a84e1a7f02d7988b69fcb"
"3229","Localtel Communications","Localtel SHAKEN 3229","https://prod001-prod011-cr.rbbnidhub.com/AJ8dubyVgz/STI-202405-3229-587575df46a980d94ab9206e51351f8f"
"5727","FirstDigital Communications","FirstDigital SHAKEN 5727","https://prod001-prod011-cr.rbbnidhub.com/VaMEsVjGRz/0-78bf61afb1a4b8aa288102a78b1a185f"
"620J","Nuwave Communications","Nuwave Communications SHAKEN 620J","https://prod001-prod011-cr.rbbnidhub.com/Jx6yR-yMgz/620J202304-401f156c7342aa701f6e8bb3d26c0ecf"
"620J","Nuwave Communications","Nuwave Communications SHAKEN 620J","https://prod001-prod011-cr.rbbnidhub.com/Jx6yR-yMgz/620J202404-12afc01d0771f0ba2e7acb9f79b30aad"
"629J","UniVoIP","UniVoIP SHAKEN 629J","https://prod001-prod011-cr.rbbnidhub.com/W_HMwhNngz/629JNew-3f940f6269f13654b64bd22366a4569a"
"716D","Veracity Networks LLC","Veracity SHAKEN 716D","https://prod001-prod011-cr.rbbnidhub.com/VaMEsVjGRz/0-6f633bc2813830d744b6236fe4d3b741"
"8886","Netfortris","Netfortris SHAKEN 8886","https://prod001-prod011-cr.rbbnidhub.com/t0CiOIjnRz/NFJune072023-3a5cc337262fa27b6e6a3d8948fc365e"
