OCN,Org Name,CN,Cert
"143K","Telonium Communications LLC","SHAKEN 143K","https://certs.telonium.net/23/1ee88c4a.crt"
"421K","Q5 Networks","SHAKEN 421K","https://www.q5networks.com/stirshaken/q5networks2025.pem"
"622K","COMMTRUNK LLC","SHAKEN 622K","https://commtrunks.46labs.com/commtrunks.pem"
"633K","Telkart LLC","SHAKEN 633K","https://telkart.46labs.com"
"651K","Callsy Network LLC","SHAKEN 651K","https://certs.telonium.net/24/7d61b012.crt"
"709K","Coastal Redwood Networks LLC","SHAKEN 709K","https://certs.telonium.net/24/772a7300.crt"
"715K","Telorca LLC","SHAKEN 715K","https://certificates.peeringhub.io/715K/715K.crt"
"721K","KonnectTel LLC","SHAKEN 721K","https://sadmin.konnecttel.com/KonnectTel.pem"
"755J","CMSInter.net LLC","SHAKEN 755J","https://certs.telonium.net/24/da9f839e.crt"
"850J","VoIPPlus LLC","SHAKEN 850J","https://mango.voipplus.net/cert.pem"
"865K","Siplink Communications","SHAKEN 865K","https://hostedpbx.siplink.in/new_cert.crt"
"869K","Smartbiz Telecom LLC","SHAKEN 869K","https://certificates.peeringhub.io/869K/869K.crt"
"930K","QEMERT Pro Technology SRL","SHAKEN 930K","https://certs.telonium.net/24/ebf37ff6.crt"
"963J","Freevoice Inc","SHAKEN 963J","https://freevoiceusa.com/963J_24"
"974K","SIP Crew LLC","SHAKEN 974K","https://cdn.cnxcdn.com/shaken/58c3abfdfe.crt"
